sepal length,sepal width,petal length,y_real,y_pred,neuronio_vencedor,classe_original
6.3,2.9,5.6,1.8,1.7794772392693252,11,Iris-virginica
6.5,3.0,5.8,2.2,2.1762010129224745,4,Iris-virginica
7.6,3.0,6.6,2.1,2.096212752728215,11,Iris-virginica
4.9,2.5,4.5,1.7,1.701845113307976,4,Iris-virginica
7.3,2.9,6.3,1.8,1.8707628894660115,10,Iris-virginica
6.7,2.5,5.8,1.8,1.7923133201035046,11,Iris-virginica
7.2,3.6,6.1,2.5,2.501652536123431,0,Iris-virginica
6.5,3.2,5.1,2.0,2.015081916617296,0,Iris-virginica
6.4,2.7,5.3,1.9,1.8753935912860689,4,Iris-virginica
6.8,3.0,5.5,2.1,2.069562326690159,2,Iris-virginica
5.7,2.5,5.0,2.0,2.0859142945905393,1,Iris-virginica
5.8,2.8,5.1,2.4,2.155332343038683,1,Iris-virginica
6.4,3.2,5.3,2.3,2.2783589010158587,1,Iris-virginica
6.5,3.0,5.5,1.8,1.806020262631246,9,Iris-virginica
7.7,3.8,6.7,2.2,2.201822460212575,11,Iris-virginica
7.7,2.6,6.9,2.3,2.3332862437079345,7,Iris-virginica
6.0,2.2,5.0,1.5,1.488383702814127,11,Iris-virginica
6.9,3.2,5.7,2.3,2.2692532161303376,0,Iris-virginica
5.6,2.8,4.9,2.0,2.059060932879068,1,Iris-virginica
7.7,2.8,6.7,2.0,2.011666164110961,10,Iris-virginica
6.3,2.7,4.9,1.8,1.773064505436846,2,Iris-virginica
6.7,3.3,5.7,2.1,2.1489626699778097,4,Iris-virginica
7.2,3.2,6.0,1.8,1.7758722121881518,10,Iris-virginica
6.2,2.8,4.8,1.8,1.8345587725079475,0,Iris-virginica
6.1,3.0,4.9,1.8,1.786821757157171,4,Iris-virginica
6.4,2.8,5.6,2.1,2.129856245650624,2,Iris-virginica
7.2,3.0,5.8,1.6,1.6926562113231005,10,Iris-virginica
7.4,2.8,6.1,1.9,1.8836807670114843,11,Iris-virginica
7.9,3.8,6.4,2.0,1.9509288950288388,10,Iris-virginica
6.4,2.8,5.6,2.2,2.2210253016831905,0,Iris-virginica
6.3,2.8,5.1,1.5,1.427851499173293,10,Iris-virginica
6.1,2.6,5.6,1.4,1.6015535803816399,10,Iris-virginica
7.7,3.0,6.1,2.3,2.32873194143637,0,Iris-virginica
6.3,3.4,5.6,2.4,2.4385755551743915,1,Iris-virginica
6.4,3.1,5.5,1.8,1.8300285580559328,9,Iris-virginica
6.0,3.0,4.8,1.8,1.8120115716605822,2,Iris-virginica
6.9,3.1,5.4,2.1,2.096697455154058,0,Iris-virginica
6.7,3.1,5.6,2.4,2.415671901799169,1,Iris-virginica
6.9,3.1,5.1,2.3,2.1721560838880802,1,Iris-virginica
5.8,2.7,5.1,1.9,1.8842933928511498,4,Iris-virginica
6.8,3.2,5.9,2.3,2.3058812839006393,2,Iris-virginica
6.7,3.3,5.7,2.5,2.4784011632929217,1,Iris-virginica
6.7,3.0,5.2,2.3,2.214413657016941,1,Iris-virginica
6.3,2.5,5.0,1.9,1.8732579853529414,0,Iris-virginica
6.5,3.0,5.2,2.0,2.0331036258509485,0,Iris-virginica
6.2,3.4,5.4,2.3,2.341898817513055,1,Iris-virginica
5.9,3.0,5.1,1.8,1.7972274874914527,7,Iris-virginica
