sepal length,sepal width,petal length,petal width,y_real,y_pred,neuronio_vencedor,classe_original
5.0,3.3,1.4,0.2,0.2,0.20000000006912874,0,Iris-setosa
7.0,3.2,4.7,1.4,1.4,1.400000000045286,11,Iris-versicolor
6.4,3.2,4.5,1.5,1.5,1.4999999999859108,10,Iris-versicolor
6.9,3.1,4.9,1.5,1.5,1.5000000000455365,11,Iris-versicolor
5.5,2.3,4.0,1.3,1.3,1.299999999942562,10,Iris-versicolor
6.5,2.8,4.6,1.5,1.5,1.4999999999476412,10,Iris-versicolor
5.7,2.8,4.5,1.3,1.3,1.3000000001271097,10,Iris-versicolor
6.3,3.3,4.7,1.6,1.6,1.6000000000677959,11,Iris-versicolor
4.9,2.4,3.3,1.0,1.0,1.000000000008038,10,Iris-versicolor
6.6,2.9,4.6,1.3,1.3,1.3000000000697283,10,Iris-versicolor
5.2,2.7,3.9,1.4,1.4,1.3999999999430943,10,Iris-versicolor
5.0,2.0,3.5,1.0,1.0,0.9999999999973435,10,Iris-versicolor
5.9,3.0,4.2,1.5,1.5,1.499999999930566,10,Iris-versicolor
6.0,2.2,4.0,1.0,1.0,1.000000000053018,10,Iris-versicolor
6.1,2.9,4.7,1.4,1.4,1.4000000000924582,10,Iris-versicolor
5.6,2.9,3.6,1.3,1.3,1.2999999999036187,10,Iris-versicolor
6.7,3.1,4.4,1.4,1.4,1.3999999999713888,10,Iris-versicolor
5.6,3.0,4.5,1.5,1.5,1.5000000000461833,10,Iris-versicolor
5.8,2.7,4.1,1.0,1.0,1.000000000171122,10,Iris-versicolor
6.2,2.2,4.5,1.5,1.5,1.4999999998706377,10,Iris-versicolor
5.6,2.5,3.9,1.1,1.1,1.1000000000507943,10,Iris-versicolor
5.9,3.2,4.8,1.8,1.8,1.800000000049694,11,Iris-versicolor
6.1,2.8,4.0,1.3,1.3,1.2999999999453782,10,Iris-versicolor
6.3,2.5,4.9,1.5,1.5,1.5000000000111342,10,Iris-versicolor
6.1,2.8,4.7,1.2,1.2,1.200000000198069,10,Iris-versicolor
6.4,2.9,4.3,1.3,1.3,1.3000000000089311,10,Iris-versicolor
6.6,3.0,4.4,1.4,1.4,1.3999999999686328,10,Iris-versicolor
6.8,2.8,4.8,1.4,1.4,1.4000000000295645,10,Iris-versicolor
6.7,3.0,5.0,1.7,1.7,1.7000000000040356,11,Iris-versicolor
6.0,2.9,4.5,1.5,1.5,1.499999999988607,10,Iris-versicolor
5.7,2.6,3.5,1.0,1.0,1.0000000000029157,10,Iris-versicolor
5.5,2.4,3.8,1.1,1.1,1.1000000000204633,10,Iris-versicolor
5.5,2.4,3.7,1.0,1.0,1.0000000000525537,10,Iris-versicolor
5.8,2.7,3.9,1.2,1.2,1.1999999999966409,10,Iris-versicolor
6.0,2.7,5.1,1.6,1.6,1.6000000000669512,10,Iris-versicolor
5.4,3.0,4.5,1.5,1.5,1.5000000000681115,10,Iris-versicolor
6.0,3.4,4.5,1.6,1.6,1.5999999999975418,10,Iris-versicolor
6.7,3.1,4.7,1.5,1.5,1.5000000000331288,11,Iris-versicolor
6.3,2.3,4.4,1.3,1.3,1.2999999999651497,10,Iris-versicolor
5.6,3.0,4.1,1.3,1.3,1.3000000000552139,10,Iris-versicolor
5.5,2.5,4.0,1.3,1.3,1.2999999999700023,10,Iris-versicolor
5.5,2.6,4.4,1.2,1.2,1.2000000001536881,10,Iris-versicolor
6.1,3.0,4.6,1.4,1.4,1.4000000000786033,10,Iris-versicolor
5.8,2.6,4.0,1.2,1.2,1.2000000000104958,10,Iris-versicolor
5.0,2.3,3.3,1.0,1.0,0.9999999999833538,10,Iris-versicolor
5.6,2.7,4.2,1.3,1.3,1.3000000000416285,10,Iris-versicolor
5.7,3.0,4.2,1.2,1.2,1.2000000001314903,10,Iris-versicolor
5.7,2.9,4.2,1.3,1.3,1.3000000000581047,10,Iris-versicolor
6.2,2.9,4.3,1.3,1.3,1.3000000000308594,10,Iris-versicolor
5.1,2.5,3.0,1.1,1.1,1.0999999998574392,10,Iris-versicolor
5.7,2.8,4.1,1.3,1.3,1.3000000000168095,10,Iris-versicolor
6.3,3.3,6.0,2.5,2.5,2.4999999999806115,11,Iris-virginica
5.8,2.7,5.1,1.9,1.9,1.8999999999098829,10,Iris-virginica
7.1,3.0,5.9,2.1,2.1,2.099999999976178,11,Iris-virginica
6.3,2.9,5.6,1.8,1.8,1.8000000001109981,11,Iris-virginica
6.5,3.0,5.8,2.2,2.2,2.199999999992924,11,Iris-virginica
7.6,3.0,6.6,2.1,2.1,2.100000000043004,11,Iris-virginica
4.9,2.5,4.5,1.7,1.7,1.6999999999350002,10,Iris-virginica
7.3,2.9,6.3,1.8,1.8,1.8000000001193264,11,Iris-virginica
6.7,2.5,5.8,1.8,1.8,1.8000000000531742,11,Iris-virginica
7.2,3.6,6.1,2.5,2.5,2.4999999999283435,11,Iris-virginica
6.5,3.2,5.1,2.0,2.0,1.999999999962112,11,Iris-virginica
6.4,2.7,5.3,1.9,1.9,1.8999999999866248,11,Iris-virginica
6.8,3.0,5.5,2.1,2.1,2.099999999939663,11,Iris-virginica
5.7,2.5,5.0,2.0,2.0,1.9999999998061662,10,Iris-virginica
5.8,2.8,5.1,2.4,2.4,2.3999999998549857,11,Iris-virginica
6.4,3.2,5.3,2.3,2.3,2.2999999999029757,11,Iris-virginica
6.5,3.0,5.5,1.8,1.8,1.800000000081404,11,Iris-virginica
7.7,3.8,6.7,2.2,2.2,2.2000000001073254,11,Iris-virginica
7.7,2.6,6.9,2.3,2.3,2.299999999967086,11,Iris-virginica
6.0,2.2,5.0,1.5,1.5,1.5000000000304412,10,Iris-virginica
6.9,3.2,5.7,2.3,2.3,2.2999999999160914,11,Iris-virginica
5.6,2.8,4.9,2.0,2.0,1.9999999998307156,10,Iris-virginica
7.7,2.8,6.7,2.0,2.0,2.0000000000613385,11,Iris-virginica
6.3,2.7,4.9,1.8,1.8,1.7999999999622585,11,Iris-virginica
6.7,3.3,5.7,2.1,2.1,2.100000000022294,11,Iris-virginica
7.2,3.2,6.0,1.8,1.8,1.8000000001124403,11,Iris-virginica
6.2,2.8,4.8,1.8,1.8,1.7999999998566871,10,Iris-virginica
6.1,3.0,4.9,1.8,1.8,1.800000000020782,11,Iris-virginica
6.4,2.8,5.6,2.1,2.1,2.099999999980948,11,Iris-virginica
7.2,3.0,5.8,1.6,1.6,1.6000000001243124,11,Iris-virginica
7.4,2.8,6.1,1.9,1.9,1.9000000000245645,11,Iris-virginica
7.9,3.8,6.4,2.0,2.0,2.000000000101311,11,Iris-virginica
6.4,2.8,5.6,2.2,2.2,2.1999999999454007,11,Iris-virginica
6.3,2.8,5.1,1.5,1.5,1.5000000001074447,10,Iris-virginica
6.1,2.6,5.6,1.4,1.4,1.400000000299473,10,Iris-virginica
7.7,3.0,6.1,2.3,2.3,2.299999999870692,11,Iris-virginica
6.3,3.4,5.6,2.4,2.4,2.399999999956254,11,Iris-virginica
6.4,3.1,5.5,1.8,1.8,1.8000000001048115,11,Iris-virginica
6.0,3.0,4.8,1.8,1.8,1.7999999999060554,10,Iris-virginica
6.9,3.1,5.4,2.1,2.1,2.0999999999217684,11,Iris-virginica
6.7,3.1,5.6,2.4,2.4,2.3999999998743315,11,Iris-virginica
6.9,3.1,5.1,2.3,2.3,2.299999999796963,11,Iris-virginica
5.8,2.7,5.1,1.9,1.9,1.8999999999098829,10,Iris-virginica
6.8,3.2,5.9,2.3,2.3,2.2999999999635974,11,Iris-virginica
6.7,3.3,5.7,2.5,2.5,2.4999999998801035,11,Iris-virginica
6.7,3.0,5.2,2.3,2.3,2.2999999998265572,11,Iris-virginica
6.3,2.5,5.0,1.9,1.9,1.899999999921198,11,Iris-virginica
6.5,3.0,5.2,2.0,2.0,1.999999999956599,11,Iris-virginica
6.2,3.4,5.4,2.3,2.3,2.299999999967694,11,Iris-virginica
5.9,3.0,5.1,1.8,1.8,1.8000000000799878,11,Iris-virginica
